oid,score
687209400021084,-0.619417486800259
687206400029067,-0.9346036349019349
687211200027795,-0.9346036349019349
687201400029109,-0.9346036349019349
687216300001681,-0.9346036349019349
687211200013576,-0.9346036349019349
687211200023661,-0.9346036349019349
687201100040402,-0.9346036349019349
687211200014174,-0.9343567541446991
687211200022561,-0.927715568599706
687211200019296,-0.9346036349019349
687212200083360,-0.9346036349019349
687206400030906,-0.9346036349019349
687204200093320,-0.9346036349019349
687201400051917,-0.9346036349019349
687211200014026,-0.9346036349019349
687204300010927,-0.9346036349019349
687211200030810,-0.9346036349019349
687215300015272,-0.9346036349019349
687216200029235,-0.9346036349019349
687208100003751,-0.9346036349019349
687209400004241,-0.9346036349019349
687204300013143,-0.9346036349019349
687210100017386,-0.9324662152567571
687204300026903,-0.9346036349019349
687204300013781,-0.9346036349019349
687204300045070,-0.9346036349019349
687208200011684,-0.9346036349019349
687215300001319,-0.9346036349019349
687211200054072,-0.9346036349019349
687205100001601,-0.9270821440641241
687205100007158,-0.9346036349019349
687205300013503,-0.9346036349019349
687215300010389,-0.9346036349019349
687204300063111,-0.9346036349019349
687204300002469,-0.9346036349019349
687214200011221,-0.9346036349019349
687204300009064,-0.9346036349019349
687204300014800,-0.9346036349019349
687210100010897,-0.9346036349019349
687204300015101,-0.9346036349019349
687216200031023,-0.9346036349019349
687211200013086,-0.9346036349019349
687211200010717,-0.9346036349019349
687211200031122,-0.9346036349019349
687201400044737,-0.9346036349019349
687204300025018,-0.9346036349019349
687216200041001,-0.9346036349019349
687204300076031,-0.9346036349019349
687207100033361,-0.9346036349019349
