oid,fits_image_link
553214200007110,https://fits.ztf.snad.space/products/sci/2019/0912/376863/ztf_20190912376863_000553_zr_c14_o_q2_sciimg.fits
553208400014806,https://fits.ztf.snad.space/products/sci/2019/1030/345463/ztf_20191030345463_001548_zr_c16_o_q4_sciimg.fits
553210300010113,https://fits.ztf.snad.space/products/sci/2018/1220/119444/ztf_20181220119444_000553_zr_c10_o_q3_sciimg.fits
553208200015237,https://fits.ztf.snad.space/products/sci/2018/1220/120810/ztf_20181220120810_000553_zr_c08_o_q2_sciimg.fits
553208100007616,https://fits.ztf.snad.space/products/sci/2018/1223/151343/ztf_20181223151343_000553_zr_c08_o_q1_sciimg.fits
553214200003089,https://fits.ztf.snad.space/products/sci/2018/0827/403218/ztf_20180827403218_000553_zr_c14_o_q2_sciimg.fits
553207200012509,https://fits.ztf.snad.space/products/sci/2019/1025/368426/ztf_20191025368426_000553_zr_c07_o_q2_sciimg.fits
553209200003987,https://fits.ztf.snad.space/products/sci/2019/1025/359988/ztf_20191025359988_000553_zr_c09_o_q2_sciimg.fits
553216300002241,https://fits.ztf.snad.space/products/sci/2018/1109/195498/ztf_20181109195498_000553_zr_c16_o_q3_sciimg.fits
553209100001048,https://fits.ztf.snad.space/products/sci/2018/0925/284479/ztf_20180925284479_000553_zr_c09_o_q1_sciimg.fits
553209200008123,https://fits.ztf.snad.space/products/sci/2019/0107/158391/ztf_20190107158391_000553_zr_c09_o_q2_sciimg.fits
553209400025398,https://fits.ztf.snad.space/products/sci/2019/1025/368426/ztf_20191025368426_000553_zr_c09_o_q4_sciimg.fits
553202100033827,https://fits.ztf.snad.space/products/sci/2021/0301/122338/ztf_20210301122338_000553_zr_c02_o_q1_sciimg.fits
553208100030689,https://fits.ztf.snad.space/products/sci/2019/1025/359988/ztf_20191025359988_000553_zr_c08_o_q1_sciimg.fits
553206400013816,https://fits.ztf.snad.space/products/sci/2019/1025/365579/ztf_20191025365579_000553_zr_c06_o_q4_sciimg.fits
553213100033123,https://fits.ztf.snad.space/products/sci/2018/1113/325509/ztf_20181113325509_001600_zr_c08_o_q2_sciimg.fits
553208200023598,https://fits.ztf.snad.space/products/sci/2018/1109/195498/ztf_20181109195498_000553_zr_c08_o_q2_sciimg.fits
553205300002044,https://fits.ztf.snad.space/products/sci/2019/1022/200671/ztf_20191022200671_000553_zr_c05_o_q3_sciimg.fits
553208100022414,https://fits.ztf.snad.space/products/sci/2018/1113/326424/ztf_20181113326424_001548_zr_c16_o_q1_sciimg.fits
553213300022582,https://fits.ztf.snad.space/products/sci/2019/1025/363241/ztf_20191025363241_000553_zr_c13_o_q3_sciimg.fits
553208200019919,https://fits.ztf.snad.space/products/sci/2019/1025/359988/ztf_20191025359988_000553_zr_c08_o_q2_sciimg.fits
553206400019432,https://fits.ztf.snad.space/products/sci/2021/0301/122338/ztf_20210301122338_000553_zr_c06_o_q4_sciimg.fits
553208200005172,https://fits.ztf.snad.space/products/sci/2019/1022/349769/ztf_20191022349769_000553_zr_c08_o_q2_sciimg.fits
553208200036515,https://fits.ztf.snad.space/products/sci/2018/1113/326424/ztf_20181113326424_001548_zr_c16_o_q3_sciimg.fits
553209200014313,https://fits.ztf.snad.space/products/sci/2019/1025/350243/ztf_20191025350243_000553_zr_c09_o_q2_sciimg.fits
553216100021549,https://fits.ztf.snad.space/products/sci/2018/1113/324988/ztf_20181113324988_001599_zr_c08_o_q1_sciimg.fits
553208200002332,https://fits.ztf.snad.space/products/sci/2018/0907/435023/ztf_20180907435023_000553_zr_c08_o_q2_sciimg.fits
553213200006840,https://fits.ztf.snad.space/products/sci/2018/1109/195498/ztf_20181109195498_000553_zr_c13_o_q2_sciimg.fits
553209300009962,https://fits.ztf.snad.space/products/sci/2021/0301/122338/ztf_20210301122338_000553_zr_c09_o_q3_sciimg.fits
553205200014876,https://fits.ztf.snad.space/products/sci/2021/0301/122338/ztf_20210301122338_000553_zr_c05_o_q2_sciimg.fits
553216300029092,https://fits.ztf.snad.space/products/sci/2019/1025/368426/ztf_20191025368426_000553_zr_c16_o_q3_sciimg.fits
553215200039721,https://fits.ztf.snad.space/products/sci/2019/1025/363241/ztf_20191025363241_000553_zr_c15_o_q2_sciimg.fits
553208100026765,https://fits.ztf.snad.space/products/sci/2019/1025/365579/ztf_20191025365579_000553_zr_c08_o_q1_sciimg.fits
553209300016511,https://fits.ztf.snad.space/products/sci/2021/0301/122338/ztf_20210301122338_000553_zr_c09_o_q3_sciimg.fits
553206100037769,https://fits.ztf.snad.space/products/sci/2019/1025/452905/ztf_20191025452905_000553_zr_c06_o_q1_sciimg.fits
553209400037070,https://fits.ztf.snad.space/products/sci/2019/1025/368426/ztf_20191025368426_000553_zr_c09_o_q4_sciimg.fits
553207300008172,https://fits.ztf.snad.space/products/sci/2019/1025/363241/ztf_20191025363241_000553_zr_c07_o_q3_sciimg.fits
