oid,fits_image_links
794204100012369,https://fits.ztf.snad.space/products/sci/2018/0703/308461/ztf_20180703308461_000794_zr_c04_o_q1_sciimg.fits
794209300002025,https://fits.ztf.snad.space/products/sci/2018/0703/308461/ztf_20180703308461_000794_zr_c09_o_q3_sciimg.fits
794202200000158,https://fits.ztf.snad.space/products/sci/2018/0705/347847/ztf_20180705347847_000794_zr_c02_o_q2_sciimg.fits
794213200007889,https://fits.ztf.snad.space/products/sci/2018/0524/350035/ztf_20180524350035_000794_zr_c13_o_q2_sciimg.fits
794212200008116,https://fits.ztf.snad.space/products/sci/2018/0604/370579/ztf_20180604370579_000794_zr_c12_o_q2_sciimg.fits
794208200000318,https://fits.ztf.snad.space/products/sci/2020/0128/553137/ztf_20200128553137_000793_zr_c05_o_q1_sciimg.fits
794206200028255,https://fits.ztf.snad.space/products/sci/2018/0708/203576/ztf_20180708203576_000794_zr_c06_o_q2_sciimg.fits
794202200035035,https://fits.ztf.snad.space/products/sci/2018/0422/434074/ztf_20180422434074_000794_zr_c02_o_q2_sciimg.fits
794212300014127,https://fits.ztf.snad.space/products/sci/2018/0921/155162/ztf_20180921155162_000794_zr_c12_o_q3_sciimg.fits
794211400036498,https://fits.ztf.snad.space/products/sci/2018/0504/370255/ztf_20180504370255_000794_zr_c11_o_q4_sciimg.fits
794207400028113,https://fits.ztf.snad.space/products/sci/2018/0601/347407/ztf_20180601347407_000794_zr_c07_o_q4_sciimg.fits
794206300035322,https://fits.ztf.snad.space/products/sci/2018/0613/320694/ztf_20180613320694_000794_zr_c06_o_q3_sciimg.fits
794206400023587,https://fits.ztf.snad.space/products/sci/2018/0414/458275/ztf_20180414458275_000794_zr_c06_o_q4_sciimg.fits
794202300014192,https://fits.ztf.snad.space/products/sci/2018/0424/370174/ztf_20180424370174_000794_zr_c02_o_q3_sciimg.fits
794211300026819,https://fits.ztf.snad.space/products/sci/2018/0823/178854/ztf_20180823178854_000794_zr_c11_o_q3_sciimg.fits
794207300040735,https://fits.ztf.snad.space/products/sci/2018/0715/213947/ztf_20180715213947_000794_zr_c07_o_q3_sciimg.fits
794207300029163,https://fits.ztf.snad.space/products/sci/2018/0829/264225/ztf_20180829264225_000794_zr_c07_o_q3_sciimg.fits
794201200033073,https://fits.ztf.snad.space/products/sci/2018/0523/310150/ztf_20180523310150_000794_zr_c01_o_q2_sciimg.fits
794211400036654,https://fits.ztf.snad.space/products/sci/2018/0601/347407/ztf_20180601347407_000794_zr_c11_o_q4_sciimg.fits
794206400023039,https://fits.ztf.snad.space/products/sci/2018/0414/400428/ztf_20180414400428_000794_zr_c06_o_q4_sciimg.fits
794202400029197,https://fits.ztf.snad.space/products/sci/2018/0525/390671/ztf_20180525390671_000794_zr_c02_o_q4_sciimg.fits
794207300019939,https://fits.ztf.snad.space/products/sci/2018/0612/220127/ztf_20180612220127_000794_zr_c07_o_q3_sciimg.fits
794203300032050,https://fits.ztf.snad.space/products/sci/2018/0603/318623/ztf_20180603318623_000794_zr_c03_o_q3_sciimg.fits
794210100038819,https://fits.ztf.snad.space/products/sci/2018/0523/310150/ztf_20180523310150_000794_zr_c10_o_q1_sciimg.fits
794215400029126,https://fits.ztf.snad.space/products/sci/2018/0517/323322/ztf_20180517323322_000794_zr_c15_o_q4_sciimg.fits
794208400019574,https://fits.ztf.snad.space/products/sci/2018/0914/120104/ztf_20180914120104_000794_zr_c08_o_q4_sciimg.fits
794210100003247,https://fits.ztf.snad.space/products/sci/2018/0914/120104/ztf_20180914120104_000794_zr_c10_o_q1_sciimg.fits
794214300033498,https://fits.ztf.snad.space/products/sci/2020/0507/323634/ztf_20200507323634_000794_zr_c14_o_q3_sciimg.fits
794214100037269,https://fits.ztf.snad.space/products/sci/2018/0508/392257/ztf_20180508392257_000794_zr_c14_o_q1_sciimg.fits
794211300027694,https://fits.ztf.snad.space/products/sci/2018/0730/321285/ztf_20180730321285_000794_zr_c11_o_q3_sciimg.fits
794212300022674,https://fits.ztf.snad.space/products/sci/2019/0624/243090/ztf_20190624243090_000794_zr_c12_o_q3_sciimg.fits
794212300039405,https://fits.ztf.snad.space/products/sci/2018/0921/155162/ztf_20180921155162_000794_zr_c12_o_q3_sciimg.fits
794201200033938,https://fits.ztf.snad.space/products/sci/2018/0520/387002/ztf_20180520387002_000794_zr_c01_o_q2_sciimg.fits
794202400037515,https://fits.ztf.snad.space/products/sci/2018/0408/396111/ztf_20180408396111_000794_zr_c02_o_q4_sciimg.fits
794201200039414,https://fits.ztf.snad.space/products/sci/2018/0520/387002/ztf_20180520387002_000794_zr_c01_o_q2_sciimg.fits
794205200039394,https://fits.ztf.snad.space/products/sci/2018/0529/305938/ztf_20180529305938_000794_zr_c05_o_q2_sciimg.fits
794209200029306,https://fits.ztf.snad.space/products/sci/2018/0716/246829/ztf_20180716246829_000794_zr_c09_o_q2_sciimg.fits
794204400025862,https://fits.ztf.snad.space/products/sci/2018/0706/184826/ztf_20180706184826_000794_zr_c04_o_q4_sciimg.fits
794207200021479,https://fits.ztf.snad.space/products/sci/2018/0826/258669/ztf_20180826258669_000794_zr_c07_o_q2_sciimg.fits
794208400011158,https://fits.ztf.snad.space/products/sci/2018/0831/246400/ztf_20180831246400_000794_zr_c08_o_q4_sciimg.fits
794207200027500,https://fits.ztf.snad.space/products/sci/2018/0822/234931/ztf_20180822234931_000794_zr_c07_o_q2_sciimg.fits
