oid,fits_image_link
757204200018926,https://fits.ztf.snad.space/products/sci/2019/0220/423461/ztf_20190220423461_000757_zr_c04_o_q2_sciimg.fits
757204200028617,https://fits.ztf.snad.space/products/sci/2020/0509/258576/ztf_20200509258576_000757_zr_c04_o_q2_sciimg.fits
757204200024820,https://fits.ztf.snad.space/products/sci/2020/0131/531829/ztf_20200131531829_000757_zr_c04_o_q2_sciimg.fits
757204200040838,https://fits.ztf.snad.space/products/sci/2020/0131/531829/ztf_20200131531829_000757_zr_c04_o_q2_sciimg.fits
757204200024833,https://fits.ztf.snad.space/products/sci/2019/0623/267060/ztf_20190623267060_000757_zr_c04_o_q2_sciimg.fits
757204200024915,https://fits.ztf.snad.space/products/sci/2021/0405/285949/ztf_20210405285949_000757_zr_c04_o_q2_sciimg.fits
757204200010545,https://fits.ztf.snad.space/products/sci/2021/0328/303530/ztf_20210328303530_000757_zr_c04_o_q2_sciimg.fits
757204200024933,https://fits.ztf.snad.space/products/sci/2020/0222/471169/ztf_20200222471169_000757_zr_c04_o_q2_sciimg.fits
757204200041322,https://fits.ztf.snad.space/products/sci/2020/0213/320081/ztf_20200213320081_000757_zr_c04_o_q2_sciimg.fits
757204200019048,https://fits.ztf.snad.space/products/sci/2020/0211/471505/ztf_20200211471505_000757_zr_c04_o_q2_sciimg.fits
757204200031213,https://fits.ztf.snad.space/products/sci/2021/0115/511539/ztf_20210115511539_000757_zr_c04_o_q2_sciimg.fits
757204200040837,https://fits.ztf.snad.space/products/sci/2020/0211/470567/ztf_20200211470567_000757_zr_c04_o_q2_sciimg.fits
757204200019076,https://fits.ztf.snad.space/products/sci/2020/0211/471505/ztf_20200211471505_000757_zr_c04_o_q2_sciimg.fits
757204200010607,https://fits.ztf.snad.space/products/sci/2020/0211/471505/ztf_20200211471505_000757_zr_c04_o_q2_sciimg.fits
757204200035494,https://fits.ztf.snad.space/products/sci/2019/0615/236354/ztf_20190615236354_000757_zr_c04_o_q2_sciimg.fits
757204200019090,https://fits.ztf.snad.space/products/sci/2020/1220/494398/ztf_20201220494398_000757_zr_c04_o_q2_sciimg.fits
