oid,fits_image_link
331209200162173,https://fits.ztf.snad.space/products/sci/2018/0705/292072/ztf_20180705292072_000331_zr_c09_o_q2_sciimg.fits
331210300190769,https://fits.ztf.snad.space/products/sci/2018/0705/286134/ztf_20180705286134_000331_zr_c10_o_q3_sciimg.fits
331202300177499,https://fits.ztf.snad.space/products/sci/2018/0705/246389/ztf_20180705246389_000331_zr_c02_o_q3_sciimg.fits
331209400090539,https://fits.ztf.snad.space/products/sci/2018/0706/268032/ztf_20180706268032_000331_zr_c09_o_q4_sciimg.fits
331202400153339,https://fits.ztf.snad.space/products/sci/2018/0705/285671/ztf_20180705285671_000331_zr_c02_o_q4_sciimg.fits
331203300127975,https://fits.ztf.snad.space/products/sci/2018/0707/260116/ztf_20180707260116_000331_zr_c03_o_q3_sciimg.fits
331201300136027,https://fits.ztf.snad.space/products/sci/2018/0707/272917/ztf_20180707272917_000331_zr_c01_o_q3_sciimg.fits
331210100138101,https://fits.ztf.snad.space/products/sci/2018/0705/289792/ztf_20180705289792_000331_zr_c10_o_q1_sciimg.fits
331209200194325,https://fits.ztf.snad.space/products/sci/2018/0707/270174/ztf_20180707270174_000331_zr_c09_o_q2_sciimg.fits
331211100194470,https://fits.ztf.snad.space/products/sci/2018/0707/255995/ztf_20180707255995_000331_zr_c11_o_q1_sciimg.fits
331203300176044,https://fits.ztf.snad.space/products/sci/2018/0707/255995/ztf_20180707255995_000331_zr_c03_o_q3_sciimg.fits
331201300186230,https://fits.ztf.snad.space/products/sci/2018/0707/237743/ztf_20180707237743_000331_zr_c01_o_q3_sciimg.fits
331209200150188,https://fits.ztf.snad.space/products/sci/2018/0707/279769/ztf_20180707279769_000331_zr_c09_o_q2_sciimg.fits
331202400147651,https://fits.ztf.snad.space/products/sci/2018/0707/267431/ztf_20180707267431_000331_zr_c02_o_q4_sciimg.fits
331205400176830,https://fits.ztf.snad.space/products/sci/2018/0706/239259/ztf_20180706239259_000331_zr_c05_o_q4_sciimg.fits
331207100193501,https://fits.ztf.snad.space/products/sci/2018/0705/264664/ztf_20180705264664_000331_zr_c07_o_q1_sciimg.fits
331201300130366,https://fits.ztf.snad.space/products/sci/2018/0705/275174/ztf_20180705275174_000331_zr_c01_o_q3_sciimg.fits
331201400090879,https://fits.ztf.snad.space/products/sci/2018/0706/275347/ztf_20180706275347_000331_zr_c01_o_q4_sciimg.fits
331209400155211,https://fits.ztf.snad.space/products/sci/2018/0706/278542/ztf_20180706278542_000331_zr_c09_o_q4_sciimg.fits
331201300186483,https://fits.ztf.snad.space/products/sci/2018/0706/236979/ztf_20180706236979_000331_zr_c01_o_q3_sciimg.fits
331206300165355,https://fits.ztf.snad.space/products/sci/2018/0707/248692/ztf_20180707248692_000331_zr_c06_o_q3_sciimg.fits
331209400148417,https://fits.ztf.snad.space/products/sci/2018/0706/260718/ztf_20180706260718_000331_zr_c09_o_q4_sciimg.fits
331210100185117,https://fits.ztf.snad.space/products/sci/2018/0707/286157/ztf_20180707286157_000331_zr_c10_o_q1_sciimg.fits
331203200054481,https://fits.ztf.snad.space/products/sci/2018/0707/254178/ztf_20180707254178_000331_zr_c03_o_q2_sciimg.fits
331202400009830,https://fits.ztf.snad.space/products/sci/2018/0707/244132/ztf_20180707244132_000331_zr_c02_o_q4_sciimg.fits
331201400142771,https://fits.ztf.snad.space/products/sci/2018/0707/239109/ztf_20180707239109_000331_zr_c01_o_q4_sciimg.fits
331209100138017,https://fits.ztf.snad.space/products/sci/2018/0706/262546/ztf_20180706262546_000331_zr_c09_o_q1_sciimg.fits
331208400153945,https://fits.ztf.snad.space/products/sci/2018/0707/279306/ztf_20180707279306_000331_zr_c08_o_q4_sciimg.fits
331210100121576,https://fits.ztf.snad.space/products/sci/2018/0707/277940/ztf_20180707277940_000331_zr_c10_o_q1_sciimg.fits
331210100169788,https://fits.ztf.snad.space/products/sci/2019/0705/227813/ztf_20190705227813_000331_zr_c10_o_q1_sciimg.fits
331208400093181,https://fits.ztf.snad.space/products/sci/2018/0705/252326/ztf_20180705252326_000331_zr_c08_o_q4_sciimg.fits
331211100134249,https://fits.ztf.snad.space/products/sci/2018/0707/261030/ztf_20180707261030_000331_zr_c11_o_q1_sciimg.fits
331204100188683,https://fits.ztf.snad.space/products/sci/2018/0706/250220/ztf_20180706250220_000331_zr_c04_o_q1_sciimg.fits
331209400186627,https://fits.ztf.snad.space/products/sci/2018/0705/263287/ztf_20180705263287_000331_zr_c09_o_q4_sciimg.fits
331207400191561,https://fits.ztf.snad.space/products/sci/2018/0707/260116/ztf_20180707260116_000331_zr_c07_o_q4_sciimg.fits
331209100174032,https://fits.ztf.snad.space/products/sci/2018/0705/264213/ztf_20180705264213_000331_zr_c09_o_q1_sciimg.fits
331209400180896,https://fits.ztf.snad.space/products/sci/2018/0705/282477/ztf_20180705282477_000331_zr_c09_o_q4_sciimg.fits
331208300118175,https://fits.ztf.snad.space/products/sci/2018/0705/292072/ztf_20180705292072_000331_zr_c08_o_q3_sciimg.fits
331201300137354,https://fits.ztf.snad.space/products/sci/2018/0707/265139/ztf_20180707265139_000331_zr_c01_o_q3_sciimg.fits
331207300059433,https://fits.ztf.snad.space/products/sci/2018/0707/285706/ztf_20180707285706_000331_zr_c07_o_q3_sciimg.fits
331202400156202,https://fits.ztf.snad.space/products/sci/2018/0706/273519/ztf_20180706273519_000331_zr_c02_o_q4_sciimg.fits
331210300183024,https://fits.ztf.snad.space/products/sci/2018/0707/275197/ztf_20180707275197_000331_zr_c10_o_q3_sciimg.fits
331213200044460,https://fits.ztf.snad.space/products/sci/2018/0707/276574/ztf_20180707276574_000331_zr_c13_o_q2_sciimg.fits
331202400183227,https://fits.ztf.snad.space/products/sci/2018/0707/276111/ztf_20180707276111_000331_zr_c02_o_q4_sciimg.fits
331207400182963,https://fits.ztf.snad.space/products/sci/2018/0706/280822/ztf_20180706280822_000331_zr_c07_o_q4_sciimg.fits
331207100158711,https://fits.ztf.snad.space/products/sci/2018/0707/262396/ztf_20180707262396_000331_zr_c07_o_q1_sciimg.fits
331201300170890,https://fits.ztf.snad.space/products/sci/2018/0706/263009/ztf_20180706263009_000331_zr_c01_o_q3_sciimg.fits
331209400165088,https://fits.ztf.snad.space/products/sci/2018/0706/268032/ztf_20180706268032_000331_zr_c09_o_q4_sciimg.fits
331209400168965,https://fits.ztf.snad.space/products/sci/2018/0706/261632/ztf_20180706261632_000331_zr_c09_o_q4_sciimg.fits
331210100190131,https://fits.ztf.snad.space/products/sci/2018/0706/248391/ztf_20180706248391_000331_zr_c10_o_q1_sciimg.fits
